file,line,kind,tag,event,handler_calls,handler_ref,aria_label,control_type,disabled_expression,ga_button_id,status
"src/components/BalanceGameSection.tsx","235","dom","section","onMouseMove","handleDragMove","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/BalanceGameSection.tsx","235","dom","section","onMouseUp","","handleDragEnd","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/BalanceGameSection.tsx","253","dom","button","onClick","","handlePrev","""이전 배너 보기""","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/BalanceGameSection.tsx","260","dom","button","onClick","","handleNext","""다음 배너 보기""","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/BalanceGameSection.tsx","291","dom","button","onClick","loadState","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/BalanceGameSection.tsx","313","dom","button","onClick","handleVote","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/BalanceGameSection.tsx","324","dom","button","onClick","handleVote","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/BalanceGameSection.tsx","355","dom","button","onClick","setCurrentIndex","","{`밸런스 게임 ${idx + 1} 보기`}","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","139","dom","button","onClick","setShowAdultWarning","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","155","dom","button","onClick","","onClose","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","161","dom","form","onSubmit","","handleSubmit","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","177","dom","button","onClick","setCategory","","","""button""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","196","dom","input","onChange","setIsAdultCheck","","","""checkbox""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","215","dom","input","onChange","setTitle","","","""text""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","233","dom","textarea","onChange","setBody | setAiDetectedAdult","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","254","dom","input","onChange","setOpponentPersonality","","","""text""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","283","dom","button","onClick","","onClose","","""button""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CreateStoryModal.tsx","290","dom","button","","","","","""submit""","{isSubmitDisabled}","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CrisisSupportModal.tsx","44","dom","a","","","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CrisisSupportModal.tsx","55","dom","a","","","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CrisisSupportModal.tsx","64","dom","a","","","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CrisisSupportModal.tsx","71","dom","a","","","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CrisisSupportModal.tsx","87","dom","button","onClick","","onContinue","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/CrisisSupportModal.tsx","94","dom","button","onClick","","onClose","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/DeleteConfirmModal.tsx","24","dom","button","onClick","","onClose","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/DeleteConfirmModal.tsx","30","dom","button","onClick","","onConfirm","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/Header.tsx","38","dom","div","onClick","onGoHome | window.scrollTo","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/Header.tsx","59","dom","button","onClick","","onOpenCreateStory","""사연 등록""","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/Header.tsx","73","dom","button","onClick","","onOpenProfile","{`내 계정 (${user.nickname})`}","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/LoginPromptModal.tsx","30","dom","button","onClick","","onGoToLogin","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/LoginPromptModal.tsx","36","dom","button","onClick","","onClose","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","194","dom","div","onClick","onSelectStory","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","285","dom","button","onClick","onRequireLogin","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","301","dom","button","onClick","setFaqOpen","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","319","dom","a","","","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","341","dom","button","onClick","setViewMode","","""요약 화면으로 돌아가기""","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","349","dom","button","onClick","handleTabChange","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","357","dom","button","onClick","handleTabChange","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","365","dom","button","onClick","handleTabChange","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","382","dom","button","onClick","setCurrentPage","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","404","dom","button","onClick","setViewMode","","""요약 화면으로 돌아가기""","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","418","dom","form","onSubmit","","handleChangePassword","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","419","dom","input","onChange","setPwCurrent","","","""password""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","420","dom","input","onChange","setPwNext","","","""password""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","421","dom","input","onChange","setPwConfirm","","","""password""","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","428","dom","button","","","","","""submit""","{pwBusy || !pwCurrent || !pwNext || !pwConfirm}","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","438","dom","button","onClick","setShowDeleteModal","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","457","dom","select","onChange","setDeleteReason","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","471","dom","button","onClick","setShowDeleteModal","","","","","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
"src/components/MyPageView.tsx","474","dom","button","onClick","setDeleting | supabase.rpc | setSuccessMessage | alert | supabase.auth.signOut","","","","{!deleteReason || deleting}","","SOURCE_ONLY_NOT_BROWSER_VERIFIED"
